OverviewPage,DateStart,Date,Region,Country,EventType,League,DateStart__precision,Date__precision
North American Challengers League/2024 Season/Summer Season,2024-06-15,2024-08-11,North America,United States,Online,North American Challengers League,1,1
North American Challengers League/2025 Season/Spring Promotion,2024-09-02,2024-09-07,North America,United States,Online,North American Challengers League,1,1
North American Collegiate Championship/2015 Season/Championship,2015-05-02,2015-05-03,North America,United States,Offline,North American Collegiate Championship,1,1
North Impossible,2018-05-06,2018-05-07,SEA,,,,1,1
North Stage Legends 5v5,2013-09-14,2013-09-15,Europe,Greece,Offline,North Stage Legends,1,1
NorthCon eSport Arena 2012,2012-12-14,2012-12-15,Europe,Germany,Offline,Northcon,1,1
Norwegian Esports League/Season 1,2018-11-21,2018-12-12,Europe,Norway,Online,Norwegian Esports League,1,1
Norwegian Esports League/Season 1 Qualifier,2018-11-14,2018-11-15,Europe,Norway,Online,Norwegian Esports League,1,1
Norwegian Esports League/Season 2,2019-01-16,2019-02-09,Europe,Norway,Online,Norwegian Esports League,1,1
Norwegian Esports League/Season 2 Qualifier,2019-01-05,2019-01-05,Europe,Norway,Online,Norwegian Esports League,1,1
Norwegian Esports League/Season 3,2019-05-04,2019-06-11,Europe,Norway,Online,Norwegian Esports League,1,1
Norwegian Esports League/Season 3 Playoffs,2019-06-12,2019-06-19,Europe,Norway,Online,Norwegian Esports League,1,1
Norwegian Esports League/Season 3 Qualifier,2019-04-20,2019-04-24,Europe,Norway,Online,Norwegian Esports League,1,1
Norwegian Esports League/Season 4,2019-10-07,2019-11-21,Europe,Norway,Online,Norwegian Esports League,1,1
Norwegian Esports League/Season 4 Playoffs,2019-11-25,2019-11-29,Europe,Norway,Online,Norwegian Esports League,1,1
NVIDIA Game Festival 2012,2012-03-10,2012-04-30,China,,Online/Offline,NVIDIA Game Festival,1,1
NVIDIA Game Festival 2013,2013-05-18,2013-05-19,China,China,Offline,NVIDIA Game Festival,1,1
NVIDIA Game Festival 2013/Qualifiers,2013-03-28,2013-05-09,China,China,Online,NVIDIA Game Festival,1,1
NVIDIA Game Festival 2014,2014-10-25,2014-10-26,China,China,Offline,NVIDIA Game Festival,1,1
Nvidia GeForce Esports Cup 2017,2017-07-14,2017-07-16,MENA,,Online,Nvidia GeForce Esports Cup,1,1
Nvidia GeForce Esports Cup 2017/Qualifiers,2017-07-01,2017-07-13,MENA,,Online,Nvidia GeForce Esports Cup,1,1
Occitan Championship Series 2016,2016-09-24,2016-09-24,Europe,France,Offline,Occitan Championship Series,1,1
Occitan Championship Series 2016/Qualifier 1,2016-09-10,2016-09-11,Europe,France,Online,Occitan Championship Series,1,1
Occitan Championship Series 2016/Qualifier 2,2016-09-10,2016-09-11,Europe,France,Online,Occitan Championship Series,1,1
Occitan Championship Series 2016/Qualifier 3,2016-09-10,2016-09-11,Europe,France,Online,Occitan Championship Series,1,1
Occitan Championship Series 2016/Qualifier 4,2016-09-10,2016-09-11,Europe,France,Online,Occitan Championship Series,1,1
Occitanie Esports 2018,2018-06-02,2018-06-03,Europe,France,Offline,Occitanie Esports,1,1
Occitanie Esports 2018/Qualifier,2018-03-25,2018-03-25,Europe,France,Online,Occitanie Esports,1,1
Occitanie Esports 2019,2019-06-22,2019-06-23,Europe,France,Offline,Occitanie Esports,1,1
Occitanie Esports Montpellier 2022,2022-12-10,2022-12-11,EMEA,France,Offline,Occitanie Esports,1,1
Oceanic University Championship/2016 Season/East Conference,2016-07-05,2016-07-06,Oceania,Australia,Offline,Oceanic University Championship,1,1
Oceanic University Championship/2016 Season/National Playoffs,2016-07-16,2016-10-03,Oceania,Australia,Online,Oceanic University Championship,1,1
Oceanic University Championship/2016 Season/National Qualifiers,2016-07-16,2016-07-16,Oceania,Australia,Online,Oceanic University Championship,1,1
Oceanic University Championship/2016 Season/New Zealand,2016-07-05,2016-07-06,Oceania,New Zealand,Offline,Oceanic University Championship,1,1
Oceanic University Championship/2016 Season/North Conference,2016-07-05,2016-07-06,Oceania,Australia,Offline,Oceanic University Championship,1,1
Oceanic University Championship/2016 Season/South Conference,2016-07-05,2016-07-06,Oceania,Australia,Offline,Oceanic University Championship,1,1
Oceanic University Championship/2016 Season/Wildcard,2016-07-05,2016-07-06,Oceania,Australia,Offline,Oceanic University Championship,1,1
Oceanic University Championship/2017 Season/National Playoffs,2017-09-08,2017-09-08,Oceania,Australia,Online/Offline,Oceanic University Championship,1,1
Oceanic University Championship/2018 Season/East Conference/Playoffs,2019-06-17,2019-06-17,Oceania,Australia,Offline,Oceanic University Championship,1,1
Oceanic University Championship/2018 Season/East Conference/Round Robin,2018-06-10,2018-06-10,Oceania,Australia,Offline,Oceanic University Championship,1,1
Oceanic University Championship/2018 Season/National Playoffs,2018-06-30,2018-07-14,Oceania,Australia,Online/Offline,Oceanic University Championship,1,1
Oceanic University Championship/2018 Season/National Qualifiers,2018-06-23,2018-06-14,Oceania,Australia,Online,Oceanic University Championship,1,1
Oceanic University Championship/2018 Season/New Zealand/Playoffs,2019-06-17,2019-06-17,Oceania,New Zealand,Offline,Oceanic University Championship,1,1
Oceanic University Championship/2018 Season/New Zealand/Round Robin,2018-06-10,2018-06-10,Oceania,New Zealand,Offline,Oceanic University Championship,1,1
Oceanic University Championship/2018 Season/North Conference/Playoffs,2018-06-17,2018-06-17,Oceania,Australia,Offline,Oceanic University Championship,1,1
Oceanic University Championship/2018 Season/North Conference/Round Robin,2018-06-10,2018-06-10,Oceania,Australia,Offline,Oceanic University Championship,1,1
Oceanic University Championship/2018 Season/South Conference/Playoffs,2019-06-17,2019-06-17,Oceania,Australia,Offline,Oceanic University Championship,1,1
Oceanic University Championship/2018 Season/South Conference/Round Robin,2018-06-09,2018-06-09,Oceania,Australia,Offline,Oceanic University Championship,1,1
Oceanic University Championship/2018 Season/West Conference/Playoffs,2019-06-17,2019-06-17,Oceania,Australia,Offline,Oceanic University Championship,1,1
Oceanic University Championship/2018 Season/West Conference/Round Robin,2018-06-10,2018-06-10,Oceania,Australia,Offline,Oceanic University Championship,1,1
Oceanic University Championship/2019 Season/East Conference/Playoffs,2019-04-14,2019-04-14,Oceania,Australia,Offline,Oceanic University Championship,1,1
Oceanic University Championship/2019 Season/East Conference/Round Robin,2019-04-07,2019-04-13,Oceania,Australia,Offline,Oceanic University Championship,1,1
Oceanic University Championship/2019 Season/National Playoffs,2019-05-04,2019-05-25,Oceania,Australia,Online/Offline,Oceanic University Championship,1,1
Oceanic University Championship/2019 Season/National Qualifiers,2019-04-27,2019-04-28,Oceania,Australia,Online,Oceanic University Championship,1,1
Oceanic University Championship/2019 Season/North Conference/Playoffs,2019-04-14,2019-04-14,Oceania,Australia,Offline,Oceanic University Championship,1,1
Oceanic University Championship/2019 Season/North Conference/Round Robin,2019-04-07,2019-04-13,Oceania,Australia,Online,Oceanic University Championship,1,1
Oceanic University Championship/2019 Season/South Conference/Playoffs,2019-04-14,2019-04-14,Oceania,Australia,Offline,Oceanic University Championship,1,1
Oceanic University Championship/2019 Season/South Conference/Round Robin,2019-04-07,2019-04-13,Oceania,Australia,Online,Oceanic University Championship,1,1
Oceanic University Championship/2019 Season/West Conference/Playoffs,2019-04-14,2019-04-14,Oceania,Australia,Offline,Oceanic University Championship,1,1
Oceanic University Championship/2019 Season/West Conference/Round Robin,2019-04-07,2019-04-13,Oceania,Australia,Online,Oceanic University Championship,1,1
Oceanic University Championship/2019 Season/Wildcard,2019-04-14,2019-04-14,Oceania,New Zealand,Online,Oceanic University Championship,1,1
OCS/2015 Season/Split 1,2015-03-15,2015-04-08,Oceania,Australia,Online,Oceanic Challenger Series,1,1
OCS/2015 Season/Split 2,2015-06-30,2015-07-16,Oceania,Australia,Online,Oceanic Challenger Series,1,1
OCS/2016 Season/Split 1,2016-02-04,2016-03-17,Oceania,Australia,,Oceanic Challenger Series,1,1
OCS/2016 Season/Split 1 Playoffs,2016-03-24,2016-03-31,Oceania,Australia,,Oceanic Challenger Series,1,1
OCS/2016 Season/Split 2,2016-06-09,2016-07-22,Oceania,Australia,,Oceanic Challenger Series,1,1
OCS/2016 Season/Split 2 Playoffs,2016-07-28,2016-08-04,Oceania,Australia,,Oceanic Challenger Series,1,1
OCS/2016 Season/Split 2 Promotion,,,Oceania,Australia,,,,
OCS/2017 Season/Split 1,2017-02-03,2017-03-17,Oceania,Australia,,Oceanic Challenger Series,1,1
OCS/2017 Season/Split 1 Playoffs,2017-03-24,2017-03-31,Oceania,Australia,,Oceanic Challenger Series,1,1
OCS/2017 Season/Split 2,2017-06-23,2017-08-04,Oceania,Australia,,Oceanic Challenger Series,1,1
OCS/2017 Season/Split 2 Playoffs,2017-08-11,2017-08-18,Oceania,Australia,,Oceanic Challenger Series,1,1
OCS/2018 Season/Playoffs,2018-08-15,2018-08-23,Oceania,Australia,,Oceanic Challenger Series,1,1
OCS/2018 Season/Regular Season,2018-05-09,2018-08-09,Oceania,Australia,,Oceanic Challenger Series,1,1
OCS/2019 Season/Playoffs,2019-08-01,2019-08-15,Oceania,Australia,,Oceanic Challenger Series,1,1
OCS/2019 Season/Regular Season,2019-05-02,2019-07-25,Oceania,Australia,,Oceanic Challenger Series,1,1
OCS/2020 Season/Playoffs,2020-08-06,2020-08-20,Oceania,Australia,,Oceanic Challenger Series,1,1
OCS/2020 Season/Regular Season,2020-05-21,2020-07-23,Oceania,Australia,,Oceanic Challenger Series,1,1
ODT/2023 Season/Main Event,2023-10-09,2023-10-13,Asia Pacific,Australia,,Oceanic Developmental Tournament,1,1
ODT/2024 Season/Split 1,2024-03-14,2024-05-09,Asia Pacific,Australia,,Oceanic Developmental Tournament,1,1
ODT/2024 Season/Split 2,2024-08-08,2024-09-19,Asia Pacific,Australia,,Oceanic Developmental Tournament,1,1
ODT/2024 Season/Split 2 Promotion,2024-05-23,2024-05-30,Asia Pacific,Australia,,Oceanic Developmental Tournament,1,1
Odyssey Champion 2020,2020-07-15,2020-07-15,Vietnam,Vietnam,,,1,1
OffTheLAN 2015,2015-06-06,2015-06-07,Europe,France,,OffTheLAN,1,1
OGN Club Masters,2013-02-13,2013-02-23,Korea,South Korea,Offline,Club Masters,1,1
OGSeries Finals 2019,2019-10-20,2019-10-20,Europe,Spain,Offline,OGSeries Finals,1,1
OGSeries Finals 2019/Qualifier,2019-10-13,2019-10-13,Europe,Spain,Offline,OGSeries Finals,1,1
Oi Game Arena CCXP 2018,2018-12-06,2018-12-08,Brazil,Brazil,,Desafio CCXP18,1,1
Olhsa Cup Invitational 2023,2023-12-08,2023-12-10,Latin America,Mexico,,Olhsa Invitational,1,1
OMEN &amp; Intel Kuźnia Talentów 2020,2020-10-27,2020-10-28,Europe,Poland,Online,ESL,1,1
OMEN &amp; Intel Kuźnia Talentów 2020/Qualifier,2020-10-20,2020-10-20,Europe,Poland,Online,ESL,1,1
OMEN &amp; Intel Kuźnia Talentów 2020/Qualifier/Qualifier 2,2020-10-22,2020-10-22,Europe,Poland,Online,ESL,1,1
OMEN &amp; Intel Kuźnia Talentów 2020/Qualifier/Qualifier 3,2020-10-24,2020-10-24,Europe,Poland,Online,ESL,1,1
OMEN &amp; Intel Kuźnia Talentów 2020/Qualifier/Qualifier 4,2020-10-25,2020-10-25,Europe,Poland,Online,ESL,1,1
OMEN &amp; Intel Kuźnia Talentów vol.2,2021-04-15,2021-04-17,Europe,Poland,Online,ESL,1,1
OMEN by HP TROPHY,2017-02-17,2017-02-19,Europe,France,Offline,Omen by HP Trophy,1,1
OMEN by HP TROPHY/Qualifier 1,2017-01-28,2017-01-29,Europe,France,Online,Omen by HP Trophy,1,1
OMEN by HP TROPHY/Qualifier 2,2017-02-02,2017-02-04,Europe,France,Online,Omen by HP Trophy,1,1
OMEN Encounter,2014-12-01,2015-01-05,North America,,Online,,1,1
OMEN Eurogamer LoL Challenge,2018-05-14,2018-05-26,Europe,Portugal,,Omen by HP Trophy,1,1
OMEN Eurogamer LoL Challenge Porto,2018-09-22,2018-09-23,Europe,Portugal,,Omen by HP Trophy,1,1
OMEN Summer Series 2020,2020-07-15,2020-07-15,Europe,Czech Republic,Online,,1,1
OMEN Worten Game Ring Challenge,2019-12-07,2019-12-07,Europe,Portugal,,OMEN Worten Game Ring Challenge,1,1
OMEN Worten Game Ring Challenge/Qualifiers,2019-10-18,2019-10-20,Europe,Portugal,,OMEN Worten Game Ring Challenge,1,1
OMEN Worten Game Ring Challenge/Qualifiers/Qualifier 2,2019-10-25,2019-10-27,Europe,Portugal,,OMEN Worten Game Ring Challenge,1,1
Omerix Cup 52,2019-05-29,2019-05-30,Europe,France,Online,Omerix Cup,1,1
Omerix Cup 53,2019-06-05,2019-06-06,Europe,France,Online,Omerix Cup,1,1
One For All 1vs1 Cup/2020 Season,2020-04-25,2020-04-26,Vietnam,Vietnam,,One For All,1,1
Onfest Bulgaria 2012,,2012-09-23,Europe,,,,,1
OnGameNet LoL Invitational,2012-01-13,2012-01-20,Korea,South Korea,Offline,OGN,1,1
OOL/2016 Season/Split 1,2016-02-20,2016-04-17,Oceania,Australia,,,1,1
OP Network LoL,2019-04-15,2019-05-04,MENA,Bahrain,,OP Network LoL,1,1
Open Tour Benelux/2020 Season/Step 1,2020-02-15,2020-02-16,Europe,Netherlands,Online,Open Tour Benelux,1,1
Open Tour Benelux/2020 Season/Step 2,2020-03-07,2020-03-08,Europe,Netherlands,Online,Open Tour Benelux,1,1
Open Tour Benelux/2020 Season/Step 3,2020-03-28,2020-03-29,Europe,Netherlands,Online,Open Tour Benelux,1,1
Open Tour Benelux/2020 Season/Step 4,2020-05-02,2020-05-03,Europe,Netherlands,Online,Open Tour Benelux,1,1
Open Tour Benelux/2020 Season/Step 5,2020-06-06,2020-06-07,Europe,Netherlands,Online,Open Tour Benelux,1,1
Open Tour Benelux/2020 Season/Step 6,2020-07-11,2020-07-12,Europe,Netherlands,Online,Open Tour Benelux,1,1
Open Tour Benelux/2020 Season/Step 7,2020-08-01,2020-08-02,Europe,Netherlands,Online,Open Tour Benelux,1,1
Open Tour Benelux/2021 Season/Spring Community Cup 1,2021-03-18,2021-03-18,Europe,Netherlands,Online,OTBLX Community Cups,1,1
Open Tour Benelux/2021 Season/Spring Playoffs,2021-03-27,2021-03-28,Europe,Netherlands,Online,Open Tour Benelux,1,1
Open Tour Benelux/2021 Season/Spring Qualifiers/Qualifier 1,2021-01-23,2021-01-24,Europe,Netherlands,Online,Open Tour Benelux,1,1
Open Tour Benelux/2021 Season/Spring Qualifiers/Qualifier 2,2021-01-30,2021-01-31,Europe,Netherlands,Online,Open Tour Benelux,1,1
Open Tour Benelux/2021 Season/Spring Qualifiers/Qualifier 3,2021-02-06,2021-02-07,Europe,Netherlands,Online,Open Tour Benelux,1,1
Open Tour Benelux/2021 Season/Spring Qualifiers/Qualifier 4,2021-02-13,2021-02-14,Europe,Netherlands,Online,Open Tour Benelux,1,1
Open Tour Benelux/2021 Season/Spring Qualifiers/Tiebreakers,2021-02-17,2021-02-20,Europe,Netherlands,Online,Open Tour Benelux,1,1
Open Tour Benelux/2021 Season/Spring Split,2021-02-27,2021-03-21,Europe,Netherlands,Online,Open Tour Benelux,1,1
Open Tour Benelux/2021 Season/Spring Starlan Challenge 1,2021-03-25,2021-03-25,Europe,Belgium,Online,OTBLX Community Cups,1,1
Open Tour Benelux/2021 Season/Summer Playoffs,2021-08-14,2021-08-15,Europe,Netherlands,Online,Open Tour Benelux,1,1
Open Tour Benelux/2021 Season/Summer Qualifiers,2021-06-12,2021-07-04,Europe,Netherlands,Online,Open Tour Benelux,1,1
Open Tour Benelux/2021 Season/Summer Qualifiers/Qualifier 1,2021-06-12,2021-06-13,Europe,Netherlands,Online,Open Tour Benelux,1,1
Open Tour Benelux/2021 Season/Summer Qualifiers/Qualifier 2,2021-06-19,2021-06-20,Europe,Netherlands,Online,Open Tour Benelux,1,1
Open Tour Benelux/2021 Season/Summer Qualifiers/Qualifier 3,2021-06-26,2021-06-27,Europe,Netherlands,Online,Open Tour Benelux,1,1
Open Tour Benelux/2021 Season/Summer Qualifiers/Qualifier 4,2021-07-03,2021-07-04,Europe,Netherlands,Online,Open Tour Benelux,1,1
Open Tour Benelux/2021 Season/Summer Split,2021-07-17,2021-08-08,Europe,Netherlands,Online,Open Tour Benelux,1,1
Open Tour France 2018,2018-01-27,2018-11-24,Europe,France,Online/Offline,Open Tour France,1,1
Open Tour France 2018/Showmatch,2018-11-24,2018-11-24,Europe,France,Offline,Le Match des Légendes,1,1
Open Tour France 2019/Etape 1,2019-03-02,2019-03-03,Europe,France,Online,Open Tour France,1,1
Open Tour France 2019/Etape 2,2019-04-06,2019-04-07,Europe,France,Online,Open Tour France,1,1
Open Tour France 2019/Etape 3,2019-06-01,2019-06-02,Europe,France,Online,Open Tour France,1,1
Open Tour France 2019/Etape 4,2019-07-06,2019-07-07,Europe,France,Online,Open Tour France,1,1
Open Tour France 2019/Etape 5,2019-08-03,2019-08-04,Europe,France,Online,Open Tour France,1,1
Open Tour France 2019/Etape 6,2019-08-31,2019-09-01,Europe,France,Online,Open Tour France,1,1
Open Tour France 2019/Etape 7,2019-10-05,2019-10-06,Europe,France,Online,Open Tour France,1,1
Open Tour France 2020/Etape 1,2020-02-15,2020-02-16,Europe,France,Online,Open Tour France,1,1
Open Tour France 2020/Etape 2,2020-03-07,2020-03-08,Europe,France,Online,Open Tour France,1,1
Open Tour France 2020/Etape 3,2020-03-28,2020-03-29,Europe,France,Online,Open Tour France,1,1
Open Tour France 2020/Etape 4,2020-05-02,2020-05-03,Europe,France,Online,Open Tour France,1,1
Open Tour France 2020/Etape 5,2020-06-06,2020-06-07,Europe,France,Online,Open Tour France,1,1
Open Tour France 2020/Etape 6,2020-07-11,2020-07-12,Europe,France,Online,Open Tour France,1,1
Open Tour France 2020/Etape 7,2020-08-01,2020-08-02,Europe,France,Online,Open Tour France,1,1
Open Tour France 2021/Etape 1,2021-02-06,2021-02-07,Europe,France,Online,Open Tour France,1,1
Open Tour France 2021/Etape 2,2021-03-06,2021-03-07,Europe,France,Online,Open Tour France,1,1
Open Tour France 2021/Etape 3,2021-04-17,2021-04-18,Europe,France,Online,Open Tour France,1,1
Open Tour France 2021/Etape 4,2021-05-15,2021-05-16,Europe,France,Online,Open Tour France,1,1
Open Tour France 2021/Playoffs,2021-06-20,2021-07-11,Europe,France,Online,Open Tour France,1,1
Open Tour France 2021/Tiebreakers,2021-05-21,2021-05-21,Europe,France,Online,Open Tour France,1,1
Open Tour France 2022/Etape 1,2022-01-29,2022-01-30,Europe,France,Online,Open Tour France,1,1
OPL/2015 Season/Split 1,2015-02-05,2015-03-30,Oceania,Australia,Online,Oceanic Pro League,1,1
OPL/2015 Season/Split 1 Playoffs,2015-04-01,2015-04-09,Oceania,Australia,Offline,Oceanic Pro League,1,1
OPL/2015 Season/Split 1 Qualifiers,2015-01-10,2015-01-24,Oceania,Australia,Offline,Oceanic Pro League,1,1
OPL/2015 Season/Split 2,2015-05-25,2015-07-09,Oceania,Australia,Online,Oceanic Pro League,1,1
OPL/2015 Season/Split 2 Playoffs,2015-07-20,2015-08-08,Oceania,Australia,Offline,Oceanic Pro League,1,1
OPL/2015 Season/Split 2 Qualifiers,2015-05-02,2015-05-03,Oceania,Australia,,Oceanic Pro League,1,1
OPL/2016 Season/Split 1,2016-01-18,2016-03-22,Oceania,Australia,,Oceanic Pro League,1,1
OPL/2016 Season/Split 1 Playoffs,2016-03-29,2016-04-05,Oceania,Australia,,Oceanic Pro League,1,1
OPL/2016 Season/Split 1 Promotion,2015-09-18,2015-09-20,Oceania,Australia,,Oceanic Pro League,1,1
OPL/2016 Season/Split 2,2016-05-23,2016-07-26,Oceania,Australia,,Oceanic Pro League,1,1
OPL/2016 Season/Split 2 Playoffs,2016-08-01,2016-08-13,Oceania,Australia,,Oceanic Pro League,1,1
OPL/2016 Season/Split 2 Promotion,2016-04-26,2016-04-27,Oceania,Australia,,Oceanic Pro League,1,1
OPL/2017 Season/Split 1,2017-01-21,2017-04-02,Oceania,Australia,,Oceanic Pro League,1,1
OPL/2017 Season/Split 1 Playoffs,2017-04-07,2017-04-16,Oceania,Australia,Offline,Oceanic Pro League,1,1
OPL/2017 Season/Split 1 Promotion,2016-08-22,2016-08-23,Oceania,Australia,,Oceanic Pro League,1,1
OPL/2017 Season/Split 2,2017-06-10,2017-08-20,Oceania,Australia,,Oceanic Pro League,1,1
OPL/2017 Season/Split 2 Playoffs,2017-08-25,2017-09-02,Oceania,Australia,Offline,Oceanic Pro League,1,1
OPL/2017 Season/Split 2 Promotion,2017-04-07,2017-04-15,Oceania,Australia,Offline,Oceanic Pro League,1,1
OPL/2018 Season/Split 1,2018-01-20,2018-03-18,Oceania,Australia,,Oceanic Pro League,1,1
OPL/2018 Season/Split 1 Playoffs,2018-03-23,2018-03-31,Oceania,Australia,,Oceanic Pro League,1,1
OPL/2018 Season/Split 1 Promotion,2017-08-23,2017-09-06,Oceania,Australia,Offline,Oceanic Pro League,1,1
OPL/2018 Season/Split 2,2018-06-08,2018-08-18,Oceania,Australia,,Oceanic Pro League,1,1
OPL/2018 Season/Split 2 Playoffs,2018-08-24,2018-09-02,Oceania,Australia,,Oceanic Pro League,1,1
OPL/2019 Season/Split 1,2019-01-18,2019-03-23,Oceania,Australia,,Oceanic Pro League,1,1
OPL/2019 Season/Split 1 Playoffs,2019-03-28,2019-04-06,Oceania,Australia,,Oceanic Pro League,1,1
OPL/2019 Season/Split 1 Promotion,2018-09-07,2018-09-08,Oceania,Australia,Offline,Oceanic Pro League,1,1
OPL/2019 Season/Split 2,2019-06-07,2019-08-17,Oceania,Australia,,Oceanic Pro League,1,1
OPL/2019 Season/Split 2 Playoffs,2019-08-22,2019-08-30,Oceania,Australia,,Oceanic Pro League,1,1
OPL/2020 Season/Split 1,2020-01-31,2020-04-04,Oceania,Australia,,Oceanic Pro League,1,1
OPL/2020 Season/Split 1 Playoffs,2020-04-10,2020-04-24,Oceania,Australia,,Oceanic Pro League,1,1
OPL/2020 Season/Split 2,2020-06-05,2020-08-08,Oceania,Australia,Online,Oceanic Pro League,1,1
OPL/2020 Season/Split 2 Playoffs,2020-08-14,2020-08-28,Oceania,Australia,,Oceanic Pro League,1,1
Orange Esports Champions/Season 1,2021-04-16,2021-07-11,MENA,Morocco,Online,Orange Esports Champions,1,1
Orange Esports Champions/Season 2,2021-08-10,2021-10-03,MENA,Morocco,Online,Orange Esports Champions,1,1
Orange Esports Champions/Season 3,2021-11-05,2022-01-05,MENA,Morocco,Online,Orange Esports Champions,1,1
Orange Gaming Show 2019,2019-12-14,2019-12-15,MENA,Tunisia,Offline,Orange Gaming Show,1,1
Orange Gaming Show 2019/Qualifier 1,2019-11-26,2019-11-26,MENA,Tunisia,Online,Orange Gaming Show,1,1
Orange Gaming Show 2019/Qualifier 2,2019-11-27,2019-11-27,MENA,Tunisia,Online,Orange Gaming Show,1,1
Orange Gaming Show 2019/Qualifier 3,2019-11-28,2019-11-28,MENA,Tunisia,Online,Orange Gaming Show,1,1
Orange Gaming Show 2019/Qualifier 4,2019-11-29,2019-11-29,MENA,Tunisia,Online,Orange Gaming Show,1,1
Orange StayHomeAndPlay Grand Finals,2020-04-29,2020-04-29,Europe,Belgium,Online,Orange,1,1
Orange Video Fest by Life Tube,,,Europe,,,,,
Orléans Game Show 2,2017-02-18,2017-02-19,Europe,France,,Orléans Game Show,1,1
Orléans Game Show 2018,2018-03-17,2018-03-18,Europe,France,Offline,Orléans Game Show,1,1
Orléans Game Show 2019,2019-06-28,2019-06-30,Europe,France,Offline,Orléans Game Show,1,1
Oserv LOL Tour 1,2018-11-02,2018-11-03,Europe,France,Online,Oserv LOL Tour,1,1
Oserv LOL Tour 2,2018-11-30,2018-12-01,Europe,France,Online,Oserv LOL Tour,1,1
Ostrava Championship 2017,2017-12-02,2017-12-02,Europe,Czech Republic,Offline,Ostrava Championship,1,1
Ostrava Championship 2018,2018-11-24,2018-11-25,Europe,Czech Republic,Offline,Ostrava Championship,1,1
Ostrava Championship 2019,2019-11-23,2019-11-24,Europe,Czech Republic,Offline,Ostrava Championship,1,1
OTL Meltdown Cup 1,2014-12-01,2014-12-13,Europe,France,Online/Offline,OTL Meltdown Cup,1,1
Our Party 2022,2022-11-26,2022-12-18,EMEA,Spain,Online/Offline,Our Party,1,1
Our Party 2022/Qualifier 1,2022-11-20,2022-11-20,EMEA,Spain,Online,Our Party,1,1
Our Party 2022/Qualifier 2,2022-11-21,2022-11-21,EMEA,Spain,Online,Our Party,1,1
Our Party 23-24,2023-12-01,2023-12-16,EMEA,Spain,Online/Offline,Our Party,1,1
OverDeliver Cup 2021,2021-01-16,2021-01-17,Europe,Germany,Online,OverDeliver Cup,1,1
Overpowered MENA 2022,2022-03-27,2022-03-31,MENA,Egypt,Online,Overpowered MENA,1,1
OVS Fest 2016,2016-06-04,2016-06-25,Europe,Hungary,,OVS Fest 2016,1,1
Ozone Evolution Cup/Season 1,2012-11-20,2013-01-19,LMS,Taiwan,Online,,1,1
Ozone Evolution Cup/Season 1/Finals,2013-01-21,2013-01-23,SEA,Taiwan,Online,Ozone Evolution Cup,1,1
Ozone Evolution Cup/Season 1/Week 1,2012-11-20,2012-11-24,SEA,Taiwan,Online,Ozone Evolution Cup,1,1
Ozone Evolution Cup/Season 1/Week 2,2012-11-27,2012-12-01,SEA,Taiwan,Online,Ozone Evolution Cup,1,1
Ozone Evolution Cup/Season 1/Week 3,2012-12-04,2012-12-08,SEA,Taiwan,Online,Ozone Evolution Cup,1,1
Ozone Evolution Cup/Season 1/Week 4,2012-12-11,2012-12-15,SEA,Taiwan,Online,Ozone Evolution Cup,1,1
Ozone Evolution Cup/Season 1/Week 5,2012-12-18,2012-12-19,SEA,Taiwan,Online,Ozone Evolution Cup,1,1
Ozone Evolution Cup/Season 1/Week 6,2012-12-26,2012-12-27,SEA,Taiwan,Online,Ozone Evolution Cup,1,1
Ozone Evolution Cup/Season 1/Week 7,2013-01-02,2013-01-03,SEA,Taiwan,Online,Ozone Evolution Cup,1,1
Ozone Evolution Cup/Season 1/Week 8,2013-01-09,2013-01-10,SEA,Taiwan,Online,Ozone Evolution Cup,1,1
Ozone Hero's Evolution Cup,2013-08-19,2013-08-20,LMS,,Online,Ozone Hero's Evolution Cup,1,1
Pacific Summoners League August Leg,,,SEA,,,,,
Pacific Summoners League December Leg,,,SEA,,,,,
Pacific Summoners League November Leg,,,SEA,,,,,
Pacific Summoners League October Leg,,,SEA,,,,,
Pacific Summoners League September Leg,,,SEA,,,,,
PAO Athenian eSports Cup,2022-05-07,2022-05-07,Europe,Greece,LAN,Panathinaikos AC eSports,1,1
Paris Games Week 2014,2014-10-30,2014-11-02,Europe,France,Offline,ASUS ROG,1,1
Pärnu ÜHISLan 2020,2020-11-21,2020-11-22,Europe,Estonia,,Unknown,1,1
Patch-LAN,2017-01-13,2017-01-15,Europe,Denmark,,Patch-LAN,1,1
PATHFINDERS/Tournament 1,2023-05-27,2023-05-28,EMEA,,,PATHFINDERS,1,1
PATHFINDERS/Tournament 1/Open Qualifiers,2023-05-13,2023-05-14,EMEA,,,PATHFINDERS,1,1
PATHFINDERS/Tournament 2,2023-08-19,2023-08-20,EMEA,,,PATHFINDERS,1,1
PATHFINDERS/Tournament 2/Open Qualifiers,2023-08-12,2023-08-13,EMEA,,,PATHFINDERS,1,1
PATHFINDERS/Tournament 3,2023-09-30,2023-10-01,EMEA,,,PATHFINDERS,1,1
PATHFINDERS/Tournament 3/Open Qualifiers,2023-09-16,2023-09-17,EMEA,,,PATHFINDERS,1,1
PAX 2013,2013-08-30,2013-09-01,North America,United States,Offline,,1,1
PAX 2014,2014-08-29,2014-09-01,North America,United States,Offline,,1,1
PC Express GAMEX,,,SEA,,,,,
